method,hidden,seed,train_acc,test_acc,time_s
ES,32,0,0.9799999594688416,0.9221999645233154,7.850398540496826
GD,32,0,0.9851333498954773,0.9648999571800232,2.7369384765625
ES,32,1,0.9818999767303467,0.924299955368042,6.327803373336792
GD,32,1,0.9866666793823242,0.9702999591827393,2.0762574672698975
ES,32,2,0.9828999638557434,0.9229999780654907,6.32710075378418
GD,32,2,0.9859833717346191,0.9677000045776367,2.1016504764556885
ES,32,3,0.9815999865531921,0.9158999919891357,6.326436996459961
GD,32,3,0.984250009059906,0.9656999707221985,2.101093292236328
ES,32,4,0.9824999570846558,0.9197999835014343,6.331620454788208
GD,32,4,0.9846833348274231,0.9681999683380127,2.112610101699829
ES,64,0,0.9853000044822693,0.920799970626831,13.82514500617981
GD,64,0,0.9978833198547363,0.9747999906539917,2.304821252822876
ES,64,1,0.9811999797821045,0.9193999767303467,12.930914402008057
GD,64,1,0.9974833726882935,0.9753999710083008,2.131420612335205
ES,64,2,0.9837999939918518,0.920199990272522,12.931183099746704
GD,64,2,0.9974499940872192,0.9757999777793884,2.1236095428466797
ES,64,3,0.9790999889373779,0.9200999736785889,12.928890943527222
GD,64,3,0.9969833493232727,0.9724999666213989,2.003800630569458
ES,64,4,0.9836999773979187,0.9246000051498413,12.92945408821106
GD,64,4,0.9971333742141724,0.9750999808311462,2.1374340057373047
ES,128,0,0.9861999750137329,0.9304999709129333,25.333080053329468
GD,128,0,0.9998166561126709,0.9794999957084656,2.2271811962127686
ES,128,1,0.9889999628067017,0.9271000027656555,25.32421851158142
GD,128,1,0.9998999834060669,0.98089998960495,2.121192455291748
ES,128,2,0.9857999682426453,0.924299955368042,25.326196908950806
GD,128,2,0.9996500015258789,0.9785999655723572,2.144199848175049
ES,128,3,0.9878000020980835,0.9251999855041504,25.324291229248047
GD,128,3,0.9998833537101746,0.9793999791145325,2.152164936065674
ES,128,4,0.9842000007629395,0.921999990940094,25.32447075843811
GD,128,4,0.9997833371162415,0.9784999489784241,2.164241313934326
ES,256,0,0.986799955368042,0.9239999651908875,50.474108934402466
GD,256,0,1.0,0.9821999669075012,2.2878172397613525
ES,256,1,0.9863999485969543,0.9233999848365784,49.98623824119568
GD,256,1,1.0,0.98089998960495,2.09138822555542
ES,256,2,0.9868999719619751,0.9233999848365784,49.98578405380249
GD,256,2,1.0,0.9815999865531921,2.1307754516601562
ES,256,3,0.9869999885559082,0.9195999503135681,49.98594832420349
GD,256,3,1.0,0.9803999662399292,2.1423511505126953
ES,256,4,0.9854999780654907,0.9213999509811401,49.98671102523804
GD,256,4,1.0,0.9804999828338623,2.150007963180542
